Organization Name,Category,Approx Annual Donation,Research Priority,Missing Fields Count,Missing Fields
Rails to Trails Conservancy,Nature,250.0,2000.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Heaths Haven Rescue & Sanctuary,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
K9s For Warriors,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
LMN Feline Rescue,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Last Chance for Animals,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Last Hope K9 Rescue,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
MARA Elephant Project,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Mutts with a Mission,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
North Shore Animal League,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Northeast Animal Shelter/MSPCA,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Project Precious Rescue,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Red Rover,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Rise for Animals,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Second Chance Animal Services,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
The Kindness Ranch Animal Sanctuary,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Whispering Willows Senior Dog Sanctuary,Animal,200.0,1920.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animals’ Angels,Animal,150.0,1440.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Hounds in Pounds,Animal,150.0,1440.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Morris Animal Foundation,Animal,150.0,1440.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Pilots to the Rescue,Animal,150.0,1440.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Sweet Paws Rescue,Animal,150.0,1440.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Turning Pointe Donkey Rescue,Animal,150.0,1440.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Vested Interest in K9s Inc,Animal,150.0,1440.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
White Wolf Sanctuary,Animal,150.0,1440.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Heritage Foundation,Political,150.0,1200.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Alaqua Animal Refuge,Animal,100.0,960.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Alley Cat Allies,Animal,100.0,960.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Humane World for Animals,Animal,100.0,960.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
North Valley Animal Disaster Group,Animal,100.0,960.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Paws of Honor - K9 Rescue Drive,Animal,100.0,960.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Semper K9 Assistance Dogs,Animal,100.0,960.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Smiling Dog Farms,Animal,100.0,960.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
The Seeing Eye,Animal,100.0,960.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Wounded Paw Project,Animal,100.0,960.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Wounded Warrior Project,Veterans,100.0,800.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Ring Dog Rescue,Animal,75.0,720.0,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Happy Cat Inc,Animal,0.0,9.6,7,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
