Organization Name,Category,Subcategory,Approx Annual Donation,Mission Score,Efficiency Score,Transparency Score,Legacy Fit Score,Confidence Score,Tier,Missing Fields
LMN Feline Rescue,Animal,Cats,200.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Last Hope K9 Rescue,Animal,Dogs,200.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Mutts with a Mission,Animal,Dogs,200.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Paws of Honor - K9 Rescue Drive,Animal,Dogs,100.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Red Rover,Animal,Dogs,200.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Semper K9 Assistance Dogs,Animal,Dogs,100.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Smiling Dog Farms,Animal,Dogs,100.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Vested Interest in K9s Inc,Animal,Dogs,150.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Whispering Willows Senior Dog Sanctuary,Animal,Dogs,200.0,88.0,0.0,0.0,37.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animal Recovery Mission,Animal,,400.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Bissell Pet Foundation,Animal,,250.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
"Defenders of Animal Rights, Inc",Animal,,250.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Dharma Rescue for Cats & Dogs,Animal,,250.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Guardians of the Wild,Animal,,400.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Houston SPCA,Animal,,250.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
International Fund for Animal Welfare (IFAW) ,Animal,,400.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Lady Freethinker,Animal,,400.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Little Longears Miniature Donkey Rescue,Animal,Donkeys,300.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Lost Meadows Mule Refuge,Animal,Mules,400.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
MSPCA,Animal,,250.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
National Anti-Vivsection Society,Animal,,350.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Network for Animals,Animal,,300.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Paws New England,Animal,,250.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Paws of War,Animal,,400.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Pawtcake Refuge,Animal,,400.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Peaceful Valley Donkey Rescue,Animal,Donkeys,300.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Red Bell Run Foundation Inc,Animal,Equines,300.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Restless Legs Syndrome Foundation,Animal,,350.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
World Wildlife Fund,Animal,,350.0,85.0,0.0,0.0,37.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Ring Dog Rescue,Animal,Dogs,75.0,88.0,0.0,0.0,36.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Alaqua Animal Refuge,Animal,,100.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Animals’ Angels,Animal,,150.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Heaths Haven Rescue & Sanctuary,Animal,,200.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Humane World for Animals,Animal,,100.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Last Chance for Animals,Animal,,200.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
MARA Elephant Project,Animal,Elephant,200.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Morris Animal Foundation,Animal,,150.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
North Shore Animal League,Animal,,200.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
North Valley Animal Disaster Group,Animal,,100.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Northeast Animal Shelter/MSPCA,Animal,,200.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Pilots to the Rescue,Animal,,150.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Project Precious Rescue,Animal,,200.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Rise for Animals,Animal,,200.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Second Chance Animal Services,Animal,,200.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Sweet Paws Rescue,Animal,,150.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
The Kindness Ranch Animal Sanctuary,Animal,,200.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
The Seeing Eye,Animal,,100.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Turning Pointe Donkey Rescue,Animal,Donkeys,150.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
White Wolf Sanctuary,Animal,Wolves,150.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Wounded Paw Project,Animal,,100.0,85.0,0.0,0.0,36.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Happy Cat Inc,Animal,Cats,0.0,88.0,0.0,0.0,35.2,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Nature Conservancy,Nature,,250.0,65.0,0.0,0.0,29.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Rails to Trails Conservancy,Nature,,250.0,65.0,0.0,0.0,29.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Cure Alzheimer’s Fund,Alzheimers,,1000.0,55.0,0.0,0.0,27.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Wounded Warrior Project,Veterans,,100.0,60.0,0.0,0.0,26.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Alzheimer’s Assoc,Alzheimers,,250.0,55.0,0.0,0.0,25.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Physicians Committee for Responsible Medicine,Science,,1000.0,50.0,0.0,0.0,25.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
Heritage Foundation,Political,,150.0,30.0,0.0,0.0,14.0,0.0,Needs Research,"Website, EIN, 501c3 Verified, Charity Navigator Rating, Program %, Fundraising %, Admin %"
